Class ID,Parents,Preferred Label
http://purl.obolibrary.org/obo/NCBITaxon_11270,http://purl.obolibrary.org/obo/NCBITaxon_11157,"Rhabdoviridae"
http://purl.obolibrary.org/obo/VO_0010770,http://purl.obolibrary.org/obo/VO_0010752,"Mycobacterium tuberculosis protein"
http://purl.obolibrary.org/obo/NCBITaxon_693997,http://purl.obolibrary.org/obo/NCBITaxon_693995,"Alphacoronavirus 1"
http://purl.obolibrary.org/obo/NCBITaxon_38525,http://purl.obolibrary.org/obo/NCBITaxon_162387,"Avian metapneumovirus"
http://purl.obolibrary.org/obo/NCBITaxon_10927,http://purl.obolibrary.org/obo/NCBITaxon_10912,"Bovine rotavirus"
http://purl.obolibrary.org/obo/VO_0010987,http://purl.obolibrary.org/obo/VO_0010766,"FimH"
http://purl.obolibrary.org/obo/NCBITaxon_11041,http://purl.obolibrary.org/obo/NCBITaxon_11018,"Rubella virus"
http://purl.obolibrary.org/obo/VO_0010846,http://purl.obolibrary.org/obo/VO_0010753,"Rickettsia spp protein"
http://purl.obolibrary.org/obo/VO_0000050,http://purl.obolibrary.org/obo/VO_0000359,"HIV based lentivirus vaccine vector"
http://purl.obolibrary.org/obo/VO_0001368,http://purl.obolibrary.org/obo/VO_0000315,"irradiation-inactivated vaccine"
http://purl.obolibrary.org/obo/VO_0003081,http://purl.obolibrary.org/obo/VO_0000053,"Trumenba"
http://purl.obolibrary.org/obo/VO_0002385,http://purl.obolibrary.org/obo/VO_0000609,"chicken bursal disease-reovirus vaccine"
http://purl.obolibrary.org/obo/VO_0001778,http://purl.obolibrary.org/obo/VO_0001486,"Equine Rhinopneumonitis Killed Virus Vaccine (USDA: 1525.20)"
http://purl.obolibrary.org/obo/VO_0011136,http://purl.obolibrary.org/obo/VO_0010782,"M1 from Influenza A virus (A/chicken/Henan/12/2004(H5N1))"
http://purl.obolibrary.org/obo/VO_0000467,http://purl.obolibrary.org/obo/VO_0002502,"Staphylococcus aureus phage lysate vaccine"
http://purl.obolibrary.org/obo/VO_0001093,http://purl.obolibrary.org/obo/VO_0000600,"NYVAC vaccine vector"
