source,target,relation
http://purl.obolibrary.org/obo/VO_0001778,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0004534,http://purl.obolibrary.org/obo/NCBITaxon_10995,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0004055,http://purl.obolibrary.org/obo/NCBITaxon_1314,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002306,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0001792,http://purl.obolibrary.org/obo/VO_0000812,has role
http://purl.obolibrary.org/obo/VO_0011195,http://purl.obolibrary.org/obo/VO_0000457,has role
http://purl.obolibrary.org/obo/VO_0002443,http://purl.obolibrary.org/obo/NCBITaxon_10261,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0001588,http://purl.obolibrary.org/obo/NCBITaxon_70796,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002582,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0002322,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0002068,http://purl.obolibrary.org/obo/VO_0000211,has quality
http://purl.obolibrary.org/obo/VO_0004063,http://purl.obolibrary.org/obo/NCBITaxon_1313,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0012176,http://purl.obolibrary.org/obo/NCBITaxon_83560,vaccine immunization against microbe
http://purl.obolibrary.org/obo/VO_0002617,http://purl.obolibrary.org/obo/VO_0001361,has role
http://purl.obolibrary.org/obo/VO_0002737,http://purl.obolibrary.org/obo/VO_0001361,has role
